w,l
97,27
19,11
93,74
55,18
91,78
53,94
84,16
81,40
57,39
31,21
37,22
25,32
23,29
78,96
80,40
33,38
28,29
47,39
9,82
16,17
44,49
93,99
19,23
60,39
87,82
66,37
19,83
72,64
61,99
66,18
80,31
93,48
67,97
88,2
43,12
97,12
70,42
17,76
33,30
50,65
22,91
54,21
35,87
43,7
23,100
30,57
1,38
67,49
11,58
95,69
44,45
6,85
76,36
83,19
34,31
9,18
42,95
50,83
85,4
32,65
68,44
16,41
18,100
89,87
86,83
5,96
78,20
63,19
24,84
41,26
30,77
55,65
20,23
82,29
83,10
53,33
1,42
66,67
35,73
53,54
18,82
22,10
58,77
86,53
88,90
94,20
92,85
45,15
93,58
100,52
31,98
27,96
9,64
61,15
76,50
85,93
